text,label
ಸಮಾಜದಲ್ಲಿ ವಿಷ ಬಿತ್ತುವ ಹುಳು,1
Bavva ninu devaru marana kodthare,0
Ennu munde adru think madi vote madi plz 🚩🚩,0
"ಜಾತಿ ಬಿಡಿ ಅಂದು,ಮತ್ತೆ ಶೋಷಿತ ಜಾತಿಗಳಿಗೆ ರಿಸರ್ವೇಶನ್ ಕೊಡಿ ಅಂತೀರಲ್ಲ ಹರೀಶ್ ಪ್ರಸಾದ್,ಬಡವರಿಗೆ ಮೀಸಲಾತಿ ಇರಲಿ ಅದರಲ್ಲಿ ಶೋಷಿತ ಸಮಾಜದವರು ಸೇರಿಕೊಳ್ಳುತ್ತಾರೆ",0
Nagnathege protsahisuwa Vikrutha Manasige Dikkara,0
"ಇವರನ್ನು ಪಾಕಿಸ್ತಾನಕ್ಕೆ ಕಳುಹಿಸಿ, ಇದು ಭಾರತ ಹಿಂದೂಗಳ ದೇಶ .",1
ನಾಯಿ ಮಾಂಸ ಮಾರಾಟ ಮಾಡೋವನ ಯಾಕೆ ಕರುಸ್ತೀರಾ,1
100 %.Correct. ನಮ್ಮ ದೇಶದಲ್ಲಿ ಈ ಜಾತಿ ಪದ್ಧತಿ ಹೋಗುವ ತನಕ ನಮ್ಮ ದೇಶ ಉದ್ಧಾರ ಆಗಲ್ಲ. ಎಲ್ಲರೂ ಒಂದೇ ಹಿಂದೂ ಜಾತಿ ಎಂದಾಗ ಮಾತ್ರ ಈ ದೇಶ ಉದ್ಧಾರ ಸಾಧ್ಯ. ಇಲ್ಲದಿದ್ದರೆ ಪುನಃ ನಮ್ಮ ದೇಶದ ಮೇಲೆ ಆಕ್ರಮಣ ಆಗಿ ಹಿಂದೂ ಧರ್ಮ ಸಂಕಷ್ಟಕ್ಕೆ ಸಿಲುಕುವುದು.,0
😂 ಅಲ್ಲಕಣೋ ಹರಾಂಖೋರ್ ಎಟ್ನಾಳ್…. ಅಭಿರುದಿ ಕೆಲ್ಸ ಆರೋಗ್ಯ ಶಿಕ್ಷಣದಬಗ್ಗೆ 1 ಮಾತು ಮಾತಾಡಲ್ಲ ಪೂರ್ತಿ ಭಾಷಣದಲ್ಲಿ. ಬರೀ ದೇವರು ಧರ್ಮ ಜಾತಿ ಅಷ್ಟೇ.. ಹಿಂದೂಗಳನ್ನ ಧರ್ಮ ದೇವರು ಅನ್ಕೊಂಡು ಸುಳುಭವಾಗಿ ಚೂತಿಯಾಗಳನ್ನಾಗಿ ಮಾಡಬಹುದು ಅಂತ ಎತ್ನಾಳ್ಗೇ ಚೆನ್ನಾಗಿ ಗೊತ್ತು. 😅 ನಿಮ್ಮ ಕರ್ಮ,1
thurkara kaladalli nehru khan neked pakeera gyandi  indira rajeeva anno khangigalinda wqf anno anista Bharatha deshadalli edhe first wqft anno word Bharatha deshadinda ban madbeku  namma Hindhu deshakke edhu apply agalla,0
